Compound_id,drug_name,canonical_smiles,inchi_key,LogS (aqueous solubility),LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,0,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Hepatotoxicity,Neurotoxicity,Nephrotoxicity,Respiratory Toxicity,Cardiotoxicity,Carcinogenicity,Immunotoxicity,Mutagenicity,Cytotoxicity,BBB,Ecotoxicity,Clinical toxicity,Nutritional toxicity,Aryl hydrocarbon Receptor (AhR),Androgen Receptor (AR),Androgen Receptor Ligand Binding Domain (AR-LBD),Aromatasen,Estrogen Receptor Alpha (ER),Estrogen Receptor Ligand Binding Domain (ER-LBD),Peroxisome Proliferator Activated Receptor Gamma (PPAR-Gamma),Nuclear factor (erythroid-derived 2)-like 2/antioxidant responsive element (nrf2/ARE),Heat shock factor response element (HSE),Mitochondrial Membrane Potential (MMP),Phosphoprotein (Tumor Supressor) p53,ATPase family AAA domain-containing protein 5 (ATAD5),Thyroid hormone receptor alpha (THR?),Thyroid hormone receptor beta (THR?),Transtyretrin (TTR),Ryanodine receptor (RYR),GABA receptor (GABAR),Glutamate N-methyl-D-aspartate receptor (NMDAR), alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor (AMPAR),Kainate receptor (KAR),Achetylcholinesterase (AChE),Constitutive androstane receptor (CAR),Pregnane X receptor (PXR),NADH-quinone oxidoreductase (NADHOX),Voltage gated sodium channel (VGSC),Na+/I- symporter (NIS),Cytochrome CYP1A2CYP1A2,Cytochrome CYP2C19CYP2C19 ,Cytochrome CYP2C9CYP2C9,Cytochrome CYP2D6CYP2D6,Cytochrome CYP3A4CYP3A4,Cytochrome CYP2E1CYP2E1
S4294,Procainamide HCl,Cl.CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,,-1.154,0.866,1.01,0.001,0.968,0.011,0.004,0.09,-5.165,8.91E-06,0.367,0.1294,1.98,0.7823,0.069,0.219,0.053,0.147,0.014,0.135,0.086,0.609,0.009,0.132,9.812,0.354,0.211,0.182,0.061,0.5,0.501,0.027,0.495,0.069,0.003,0.02,0.965,0.345,2.325,2.456,5.509,0.014,0.002,0.028,0.004,0.301,0.015,0.004,0.045,0.058,0.006,0.01,0.009,235.17,256.082,0.918,4,3,58.36,7,1,6,4,0,7,1,0,1,0,0,0,2,0,1,5,0.732,1.792,0.462,7,-1.4,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 38,CCN(CCNC(=O)c1ccc(cc1)N)CC.Cl,C13H22ClN3O,271.79,18,6,0.46,7,2,2,77.74,58.36,0,1.68,2.15,1.79,1.29,1.38,-2.37,1.16,0.00428,Soluble,-2.52,0.821,0.00302,Soluble,-3.78,0.0455,0.000167,Soluble,High,Yes,No,No,No,No,No,No,-6.77,0,0,0,0,0,0.55,0,1,0,1.55,0.91,0.79,0.69,0.95,0.67,0.66,0.82,0.58,0.69,0.8,0.65,0.58,0.58,0.97,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.76,0.78,0.89,0.9,0.72,0.83,0.99,1,0.69,0.98,0.66,0.94,0.6,0.94,0.8,0.82,0.75,0.63,0.96,0.99
S4507,17-Hydroxyprogesterone,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,0.395,0.451,0.373,0,0.854,0.006,0.004,0.009,-4.655,3.20E-05,0.938,0.124,1.636,0.7499,0.266,0.584,0.078,0.922,0.036,0.394,0.02,0.646,0.027,0.671,4.96,0.25,0.016,0.101,0.838,0.172,0.05,0.063,0.199,0.248,0.03,0.736,0.847,0.555,2.651,3.165,4.059,0.037,0.003,0.096,0.009,0.12,0.007,0.003,0.083,0.011,0.006,0.031,0.005,203.11,210.298,0.966,4,2,52.95,1,2,6,4,0,12,0.083,0,0,0,0,0,2,0,1,5,0.753,2.061,0.182,12,-1.061,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 75,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2(O)C(=O)C)C)C,C21H30O3,330.46,24,0,0.81,1,3,1,95.21,54.37,2.8,3.17,3.84,3.07,3.98,3.37,-3.82,0.05,0.000151,Soluble,-3.98,0.0344,0.000104,Soluble,-4.02,0.0317,0.0000959,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.07,0,0,0,0,0,0.55,0,0,0,4.81,0.84,0.92,0.86,0.98,0.62,0.57,0.96,0.89,0.72,0.99,0.57,0.6,0.51,1,1,1,0.84,1,0.76,1,0.98,0.98,0.99,0.99,1,0.67,0.99,0.71,0.85,0.92,0.99,1,1,0.92,1,0.55,0.65,0.97,0.88,0.99,1,0.61,0.97,0.93,1
S4527,Fenofibric acid,CC(C)(OC1=CC=C(C=C1)C(=O)C2=CC=C(Cl)C=C2)C(O)=O,,-3.533,0.273,1.348,0.014,0.001,0.004,0.002,0.003,-4.519,0.000211749,0.035,0.7654,0.983,0.2606,0.693,0.803,0.371,0.093,0.046,0.81,0.006,0.706,0.012,0.348,4.753,0.597,0.008,0.739,0.961,0.996,0.224,0.047,0.578,0.987,0.033,0.132,0.043,0.516,4.799,4.894,4.976,0.007,0.026,0.82,0.004,0.254,0.845,0.004,0.909,0.471,0.352,0.311,0.746,225.04,193.571,1.163,8,0,98.18,3,2,5,8,0,13,0.231,0,2,0,0,1,0,1,4,6,0.433,2.982,0.25,26.4,-1.641,2,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 68,Clc1ccc(cc1)C(=O)c1ccc(cc1)OC(C(=O)O)(C)C,C17H15ClO4,318.75,22,12,0.18,5,4,1,84.05,63.6,2.34,3.91,3.81,2.86,3.78,3.34,-4.35,0.0141,0.0000443,Moderately soluble,-4.94,0.00362,0.0000114,Moderately soluble,-5.4,0.00128,0.00000402,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.47,0,0,0,0,0,0.85,0,0,1,2.14,0.5,0.94,0.56,0.63,0.77,0.55,0.86,0.98,0.57,0.76,0.54,0.53,0.82,0.95,0.99,1,0.93,0.83,0.86,0.79,0.91,0.91,0.64,0.9,0.98,0.62,0.59,0.69,0.94,0.72,0.94,1,1,0.96,1,0.51,0.9,0.92,0.96,0.92,0.78,0.82,0.82,0.91,0.98
S4538,Pantoprazole sodium,[Na+].COC1=CC=NC(=C1OC)C[S](=O)C2=NC3=C([N-]2)C=CC(=C3)OC(F)F,,-1.854,1.804,2.221,0,0.001,0.017,0.008,0.838,-5.179,1.15E-05,0.456,0.6727,0.251,0.2612,0.07,0.084,0.039,0.053,0.132,0.126,0.02,0.119,0.023,0.063,6.39,0.913,0.048,0.594,0.856,0.018,0.516,0.004,0.288,0.046,0.083,0.986,0.897,0.374,2.598,3.197,3.464,0.014,0.014,0.199,0.005,0.133,0.008,0.019,0.043,0.017,0.207,0.034,0.007,138.03,136.897,1.008,3,2,57.53,1,1,6,3,0,7,0.143,0,0,0,0,0,0,0,1,0,0.61,1.425,0,6,0.139,1,0,1,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 89,COc1c(OC)ccnc1CS(=O)c1[n-]c2c(n1)cc(cc2)OC(F)F.[Na+],C16H14F2N3NaO4S,405.35,27,15,0.25,7,9,0,89.33,102.64,-9.17,2.37,4.07,0.38,2.62,0.05,-3.8,0.0649,0.00016,Soluble,-4.17,0.0277,0.0000682,Moderately soluble,-6.02,0.00039,0.000000962,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.09,0,0,0,0,0,0.55,0,0,1,3.68,0.59,0.72,0.58,0.74,0.67,0.5,0.94,0.55,0.79,0.73,0.52,0.77,0.58,1,0.99,0.99,0.94,0.96,0.99,0.98,0.98,0.98,0.97,0.98,0.99,0.87,0.59,0.53,0.86,0.9,0.92,0.99,0.99,0.86,0.99,0.63,0.89,0.67,0.89,0.62,0.75,0.51,0.59,0.58,0.99
S4539,Salicylic acid,OC(=O)C1=C(O)C=CC=C1,,-5.528,3.378,4.885,0.012,0.001,0.003,0.002,0.754,-4.863,9.83E-06,0.082,1.0067,1.137,0.0095,0.984,0.437,0.946,0.092,0.835,0.9,0.776,0.782,0.117,0.341,7.208,0.243,0.141,0.048,0.874,0.043,0.056,0.427,0.78,0.309,0.025,0.932,0.309,2.444,5.012,5.892,5.752,0.299,0.004,0.723,0.888,0.484,0.502,0.012,0.846,0.062,0.476,0.972,0.761,287.95,246.39,1.169,2,1,29.46,2,2,6,5,0,12,0.167,0,1,1,0,0,1,1,1,0,0.829,1.806,0,12,-0.334,2,0,0,0,Accepted,Rejected,Rejected,Accepted,0,Molecule 184,OC(=O)c1ccccc1O,C7H6O3,138.12,10,6,0,1,3,2,35.42,57.53,1.13,2.26,1.09,0.99,0.74,1.24,-2.5,0.439,0.00318,Soluble,-3.1,0.109,0.000786,Soluble,-1.17,9.4,0.0681,Soluble,High,Yes,No,No,No,No,No,No,-5.54,0,3,0,0,1,0.85,0,0,1,1,0.51,0.69,0.78,0.58,0.71,0.67,0.99,0.98,0.86,0.67,0.76,0.53,0.88,0.98,0.99,1,1,0.96,0.98,1,0.99,0.99,0.99,0.99,0.99,0.66,0.87,0.78,0.95,0.57,0.99,1,1,0.85,1,0.5,0.79,0.97,0.94,0.83,0.72,0.54,0.86,0.94,1
S4609,Diflunisal,OC(=O)C1=C(O)C=CC(=C1)C2=C(F)C=C(F)C=C2,,-3.362,2.616,4.109,0.001,0.001,0.004,0.001,0.006,-4.648,1.31E-05,0.366,0.9872,0.251,0.0093,0.429,0.119,0.092,0.049,0.312,0.139,0.267,0.1,0.058,0.091,1.626,0.454,0.06,0.886,0.971,0.027,0.68,0.112,0.07,0.336,0.004,0.157,0.318,0.604,3.077,4.282,5.325,0.084,0.009,0.696,0.021,0.245,0.009,0.831,0.378,0.011,0.128,0.206,0.057,250.04,236.342,1.058,3,2,57.53,2,2,6,5,0,13,0.154,0,1,1,0,0,0,1,1,0,0.861,1.82,0,13,-0.572,1,0,1,0,Accepted,Rejected,Rejected,Accepted,0,Molecule 185,Fc1ccc(c(c1)F)c1ccc(c(c1)C(=O)O)O,C13H8F2O3,250.2,18,12,0,2,5,2,60.78,57.53,1.49,4.44,3.88,3.34,3.23,3.27,-4.55,0.00706,0.0000282,Moderately soluble,-5.37,0.00108,0.0000043,Moderately soluble,-4.28,0.0132,0.0000528,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.67,0,0,0,0,0,0.85,0,0,1,1.96,0.75,0.7,0.92,0.89,0.64,0.65,0.97,0.85,0.6,0.72,0.56,0.51,0.64,0.93,0.94,0.97,0.92,0.81,0.9,0.62,0.92,0.92,0.52,0.83,0.97,0.57,0.91,0.97,0.95,0.56,0.99,1,1,0.93,1,0.67,0.94,0.96,0.94,0.52,0.5,0.92,0.75,0.89,1
S4626,Ethosuximide,CCC1(C)CC(=O)NC1=O,,-0.896,0.46,0.541,0.024,0.001,0.004,0.001,0.001,-4.534,5.57E-05,0.999,0.0664,0.614,0.8288,0.023,0.9,0.055,0.848,0.025,0.158,0.006,0.159,0.023,0.547,8.029,0.774,0.007,0.156,0.04,0.067,0.132,0.018,0.084,0.021,0.003,0.028,0.034,0.305,1.671,2.245,3.41,0.14,0.004,0.015,0.012,0.121,0.01,0.003,0.03,0.013,0.028,0.013,0.022,141.08,144.376,0.977,3,1,46.17,1,1,5,3,0,7,0.143,1,0,0,0,0,1,0,0,0,0.539,3.379,0.714,18.667,0.546,1,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 72,CC1(CC)CC(=O)NC1=O,C7H11NO2,141.17,10,0,0.71,1,2,1,40.51,46.17,1.22,0.38,0.07,0.65,1.36,0.74,-0.89,18.2,0.129,Very soluble,-0.92,17.2,0.122,Very soluble,-1.96,1.55,0.011,Soluble,High,No,No,No,No,No,No,No,-6.89,0,1,0,0,1,0.55,0,1,1,1.43,0.93,0.55,0.88,0.51,0.74,0.62,0.99,0.77,0.76,0.99,0.51,0.55,0.53,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.98,0.99,0.98,0.99,0.87,0.86,0.62,0.94,0.51,0.94,0.99,1,0.84,0.99,0.5,0.54,0.81,0.96,0.97,0.94,0.79,0.85,0.98,0.98
S4630,Diazoxide,CC1=NC2=CC=C(Cl)C=C2[S](=O)(=O)N1,,-2.778,1.229,1.199,0.005,0.002,0.003,0.001,0.01,-4.526,2.28E-05,0.115,0.9561,0.65,0.0238,0.667,0.732,0.079,0.87,0.042,0.626,0.03,0.441,0.047,0.457,1.35,0.275,0.018,0.226,0.983,0.009,0.076,0.141,0.142,0.449,0.004,0.148,0.026,0.504,2.381,3.058,3.745,0.018,0.007,0.509,0.026,0.134,0.005,0.007,0.215,0.007,0.007,0.527,0.02,229.99,192.56,1.194,4,1,58.53,0,2,10,6,0,13,0,0,1,1,0,0,3,1,1,1,0.74,2.733,0.125,26,-1.753,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 44,Clc1ccc2c(c1)S(=O)(=O)NC(=N2)C,C8H7ClN2O2S,230.67,14,6,0.12,0,3,1,61.68,66.91,1.45,1.2,2,1.31,1.93,1.58,-2.34,1.05,0.00454,Soluble,-2.2,1.45,0.00629,Soluble,-3.69,0.0471,0.000204,Soluble,High,Yes,No,Yes,No,No,No,No,-6.86,0,0,0,0,0,0.55,0,0,1,3,0.75,0.57,0.54,0.88,0.66,0.63,0.99,0.86,0.79,0.72,0.75,0.68,0.6,0.98,0.99,1,0.98,0.98,0.99,0.99,0.97,0.97,0.92,0.98,0.99,0.93,0.7,0.59,0.74,0.91,0.94,0.97,1,0.86,0.98,0.55,0.95,0.63,0.93,0.5,0.78,0.64,0.62,0.94,0.99
S4648,Dantrolene sodium hemiheptahydrate,CCC1CN2CCC1CC2C(O)C3=C4C=C(OC)C=CC4=NC=C3,,-2.963,2.771,3.038,0.75,0.975,0.007,0.847,0.012,-4.611,1.49E-05,0.851,0.6444,3.453,0.2894,0.12,0.944,0.191,0.945,0.041,0.461,0.971,0.935,0.118,0.73,8.033,0.243,0.81,0.93,0.314,0.236,0.545,0.366,0.077,0.175,0.003,0.016,0.973,1.432,3.957,4.422,6.02,0.053,0.003,0.224,0.023,0.151,0.362,0.002,0.104,0.007,0.104,0.257,0.249,326.2,346.642,0.941,4,1,45.59,4,4,10,4,0,20,0.2,5,1,0,0,0,0,0,1,0,0.935,4.374,0.55,72.484,0.603,2,0,0,0,Accepted,Rejected,Accepted,Accepted,0,Molecule 73,CCC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,C20H26N2O2,326.43,24,10,0.55,4,4,1,100.21,45.59,3.52,3.13,2.69,2.31,3.12,2.96,-3.88,0.043,0.000132,Soluble,-3.76,0.0572,0.000175,Soluble,-4.65,0.00726,0.0000222,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.07,0,0,0,0,0,0.55,0,0,0,4.3,0.94,0.76,0.73,0.97,0.79,0.62,0.94,0.62,0.7,0.62,0.58,0.58,0.72,0.5,0.95,0.93,0.87,0.87,0.98,0.99,0.93,0.93,0.9,0.94,0.98,0.83,0.54,0.91,0.74,0.52,0.71,1,1,0.53,0.99,0.78,0.88,0.75,0.9,0.96,0.98,0.89,0.98,0.99,1
S4697,Saxagliptin hydrate,O.NC(C(=O)N1C(CC2CC12)C#N)[C]34CC5[CH2]C(C[C](O)(C5)C3)C4,,-1.888,0.937,1.223,0.043,0.009,0.036,0.002,0.002,-5.212,9.36E-05,0.06,0.0865,1.426,0.8739,0.006,0.102,0.029,0.102,0.039,0.151,0.019,0.152,0.338,0.453,8.981,0.187,0.013,0.912,0.036,0.022,0.903,0.908,0.106,0.919,0.003,0.013,0.985,0.195,2.475,4.181,3.919,0.005,0.002,0.014,0.013,0.204,0.01,0.009,0.358,0.002,0.017,0.406,0.021,315.19,319.763,0.986,5,3,90.35,3,5,6,5,0,21,0.143,6,0,0,0,0,1,0,3,0,0.8,5.665,0.889,83.588,0.17,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 12,N#CC1CC2C(N1C(=O)C(C13CC4CC(C1)CC(C3)(C4)O)N)C2.O,C18H27N3O3,333.43,24,0,0.89,3,5,3,91.52,99.58,2.02,0.26,0.71,0.4,1.06,0.89,-1.87,4.47,0.0134,Very soluble,-1.91,4.08,0.0122,Very soluble,-1.32,15.9,0.0476,Soluble,High,No,Yes,No,No,No,No,No,-8.15,0,0,0,0,0,0.55,0,0,0,5.13,0.87,0.56,0.63,0.63,0.7,0.7,0.99,0.66,0.74,0.72,0.66,0.7,0.5,0.97,0.98,0.99,0.97,0.93,0.98,0.98,0.97,0.97,0.94,0.94,0.98,0.9,0.97,0.81,0.95,0.55,0.93,0.98,0.99,0.71,0.99,0.53,0.9,0.77,0.91,0.96,0.83,0.69,0.67,0.88,0.99
S4714,(-)-Menthol,CC(C)C1CCC(C)CC1O,,-2.73,3.25,3.022,0,0.04,0.005,0.066,0.375,-4.323,2.73E-05,0.832,0.8226,1.132,0.1229,0.25,0.707,0.028,0.855,0.108,0.895,0.003,0.373,0.023,0.307,14.327,0.354,0.026,0.093,0.124,0.02,0.039,0.021,0.281,0.083,0.631,0.939,0.293,1.286,3.326,3.437,4.283,0.01,0.002,0.006,0.002,0.38,0.577,0.002,0.014,0.002,0.098,0.026,0.003,156.15,181.75,0.859,1,1,20.23,1,1,6,1,0,6,0.167,3,0,0,0,0,0,1,0,0,0.618,3.353,1,18.2,1.864,0,0,0,0,Accepted,Rejected,Accepted,Rejected,0,Molecule 34,CC1CCC(C(C1)O)C(C)C,C10H20O,156.27,11,0,1,1,1,1,49.23,20.23,2.55,3.4,2.44,2.45,2.06,2.58,-2.88,0.204,0.0013,Soluble,-3.5,0.0489,0.000313,Soluble,-1.48,5.22,0.0334,Soluble,High,Yes,No,No,No,No,No,No,-4.84,0,1,0,0,2,0.55,0,0,1,2.63,0.77,0.62,0.79,0.66,0.91,0.89,0.99,0.73,0.88,0.92,0.55,0.52,0.83,0.99,1,1,1,0.98,1,0.99,1,1,0.99,0.99,0.99,0.79,0.89,0.67,0.93,0.69,0.92,1,1,0.85,0.98,0.66,0.53,0.96,0.95,0.81,0.82,0.57,0.87,0.99,0.99
S4737,Psoralen,O=C1OC2=C(C=C1)C=C3C=COC3=C2,,-3.433,2.406,2.252,0.009,0.991,0.006,0.992,1,-4.737,2.17E-05,0.034,0.9162,1.383,0.1072,0.988,0.762,0.484,0.064,0.082,0.795,0.789,0.845,0.469,0.223,11.451,0.6,0.258,0.163,0.907,0.048,0.527,0.791,0.189,0.906,0.132,0.981,0.526,1.773,4.015,4.273,5.148,0.088,0.011,0.652,0.03,0.478,0.009,0.014,0.498,0.823,0.316,0.121,0.704,186.03,183.695,1.013,3,0,43.35,0,3,13,3,0,16,0,0,0,1,0,0,0,0,3,4,0.506,2.329,0,14,0.941,1,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 73,O=c1ccc2c(o1)cc1c(c2)cco1,C11H6O3,186.16,14,13,0,0,3,0,52.26,43.35,2.01,1.67,2.54,1.48,2.91,2.12,-2.73,0.344,0.00185,Soluble,-2.19,1.19,0.00639,Soluble,-4.5,0.00587,0.0000316,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,0,0,0,1,0.55,0,1,1,3.06,0.82,0.68,0.5,0.6,0.7,0.75,0.99,0.94,0.63,0.65,0.68,0.56,0.56,0.55,0.97,0.98,0.95,0.64,0.99,0.99,0.96,0.96,0.81,0.93,0.69,0.9,0.84,0.85,0.96,0.59,0.97,1,1,0.71,0.99,0.61,0.9,0.87,0.82,1,0.99,0.88,0.82,0.51,0.95
S4750,Sulfacetamide sodium salt hydrate,O.CC(=O)N([Na])[S](=O)(=O)C1=CC=C(N)C=C1,,-2.321,-0.696,-0.436,0.006,0.001,0.004,0.002,0.006,-5.019,5.56E-05,0.215,0.4386,0.377,0.6352,0.015,0.104,0.036,0.638,0.052,0.453,0.004,0.181,0.02,0.473,0.709,0.164,0.01,0.816,0.988,0.04,0.017,0.01,0.052,0.621,0.003,0.028,0.02,0.096,1.811,2.377,3.561,0.573,0.016,0.038,0.004,0.197,0.007,0.003,0.046,0.007,0.005,0.024,0.003,213.03,193.377,1.102,5,2,91.33,3,1,6,6,-1,9,0.333,0,0,0,0,0,3,0,1,4,0.738,3.19,0.125,9,-0.45,2,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 5,[Na]N(S(=O)(=O)c1ccc(cc1)N)C(=O)C.O,C8H11N2NaO4S,254.24,16,6,0.12,3,4,2,53.83,98.08,0,-0.32,1.29,-0.93,-2.13,-0.42,-1.29,12.9,0.0508,Very soluble,-1.28,13.4,0.0526,Very soluble,-1.72,4.86,0.0191,Soluble,High,No,No,No,No,No,No,No,-8.08,0,0,0,0,0,0.55,0,1,0,2.34,0.74,0.91,0.52,0.5,0.61,0.68,0.99,0.73,0.67,0.83,0.82,0.57,0.7,0.95,0.95,0.96,0.98,0.9,0.98,0.99,0.98,0.98,0.84,0.98,0.99,0.81,0.58,0.71,0.92,0.96,0.98,0.98,0.99,0.86,0.99,0.59,0.94,0.76,0.96,0.98,0.95,0.82,0.94,0.94,0.99
S5023,Nadolol,CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2,,-1.979,1.379,1.363,0,0.651,0.532,0.003,0.004,-5.178,1.82E-05,0.239,0.2176,2.585,0.6776,0.049,0.064,0.015,0.883,0,0.181,0.323,0.883,0.006,0.741,9.719,0.396,0.09,0.083,0.007,0.058,0.322,0.913,0.29,0.024,0.003,0.008,0.502,0.383,1.926,2.074,3.819,0.002,0.001,0.017,0.002,0.107,0.008,0.006,0.021,0.004,0.004,0.008,0.005,309.19,323.724,0.955,5,4,81.95,6,2,10,5,0,11,0.545,3,1,0,0,0,0,0,0,0,0.641,3.471,0.647,49.286,0.257,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 32,OC(COc1cccc2c1CC(O)C(C2)O)CNC(C)(C)C,C17H27NO4,309.4,22,6,0.65,6,5,4,85.53,81.95,2.89,0.71,0.63,0.74,1.85,1.37,-2.01,3.01,0.00974,Soluble,-2.01,3.03,0.0098,Soluble,-3.17,0.211,0.000682,Soluble,High,No,Yes,No,No,No,No,No,-7.68,0,0,0,0,0,0.55,0,0,0,3.92,0.96,0.79,0.56,0.85,0.53,0.83,0.95,0.94,0.59,0.98,0.53,0.69,0.71,0.95,0.98,0.99,0.97,0.95,0.95,0.99,0.99,0.99,0.96,0.97,0.98,0.68,0.63,0.68,0.79,0.69,0.83,0.99,0.99,0.76,0.99,0.66,0.66,0.79,0.95,0.94,0.93,0.79,0.58,0.95,1
S5079,Sitagliptin,NC(CC(=O)N1CC[N]2C(=NN=C2C(F)(F)F)C1)CC3=C(F)C=C(F)C(=C3)F,,-1.63,-1.112,-1.452,0,0.993,0.991,1,0.999,-6.508,1.21E-06,0.003,0.4931,0.204,0.4243,0.005,0.029,0.045,0.044,0.152,0.97,0.101,0.072,0.014,0.128,1.489,0.88,0.054,0.11,0.988,0.016,0.022,0.001,0.891,0.598,0.003,0.015,0.371,0.059,2.718,3.582,4.509,0.61,0.026,0.243,0.021,0.143,0.091,0.484,0.203,0.001,0.018,0.029,0.003,519.1,460.622,1.127,13,5,193.63,11,4,8,15,0,24,0.458,2,0,0,0,0,6,2,2,0,0.228,3.617,0.35,80.556,-1.13,2,1,0,0,Rejected,Accepted,Rejected,Rejected,0,Molecule 14,NC(Cc1cc(F)c(cc1F)F)CC(=O)N1CCn2c(C1)nnc2C(F)(F)F,C16H15F6N5O,407.31,28,11,0.44,6,10,1,87.25,77.04,2.35,0.7,3.9,2.52,3.08,2.51,-2.7,0.811,0.00199,Soluble,-1.9,5.18,0.0127,Very soluble,-4.81,0.00632,0.0000155,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-8.29,0,0,0,0,0,0.55,0,1,1,3.5,0.6,0.97,0.9,0.97,0.9,0.5,0.82,0.55,0.73,0.85,0.63,0.68,0.61,0.79,0.96,0.95,0.86,0.89,0.93,0.94,0.95,0.95,0.84,0.9,0.95,0.97,0.78,0.95,0.86,0.57,0.97,0.99,1,0.56,1,0.59,0.99,0.52,0.93,0.82,0.7,0.53,0.73,0.6,1
S5177,Naproxen,COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O,,-3.851,3.372,3.265,0,0.012,0.004,0.002,0.002,-4.571,1.64E-05,0.307,0.9737,0.384,0.0115,0.207,0.929,0.087,0.621,0.116,0.952,0.025,0.314,0.039,0.134,0.976,0.589,0.02,0.613,0.955,0.02,0.539,0.161,0.417,0.373,0.009,0.449,0.272,0.491,3.585,3.66,4.212,0.23,0.006,0.188,0.028,0.208,0.008,0.951,0.06,0.031,0.029,0.024,0.114,230.09,244.139,0.942,3,1,46.53,3,2,10,3,0,12,0.25,1,0,0,0,0,0,0,0,1,0.881,2.211,0.214,24,0.046,1,0,0,0,Accepted,Rejected,Accepted,Accepted,0,Molecule 138,COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,C14H14O3,230.26,17,10,0.21,3,3,1,66.79,46.53,1.92,3.34,3.04,2.57,2.9,2.76,-3.61,0.0566,0.000246,Soluble,-3.99,0.0233,0.000101,Soluble,-4.02,0.0221,0.0000962,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.33,0,0,0,0,0,0.85,0,0,1,1.85,0.51,0.53,0.81,0.87,0.83,0.53,0.85,0.74,0.8,0.61,0.53,0.6,0.88,0.88,1,0.99,0.97,0.83,0.91,0.98,0.96,0.96,0.9,0.94,0.94,0.62,0.61,0.87,0.95,0.56,0.98,1,1,0.71,0.98,0.69,0.93,0.9,0.96,0.88,0.97,0.65,0.88,0.99,0.99
